rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
"Walser, Nancy","Lummis, Ben","Grassi, Joseph G.","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","McGovern, Marc C.",skipped,6,9
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Lummis, Ben","Craig, Christopher","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,6,9
"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Craig, Christopher",6,9
"Craig, Christopher","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher","Walser, Nancy",skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher",skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,6,9
"Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.","Craig, Christopher",skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Price, Alan C.","Harding, Richard, Jr.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,6,9
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","McGovern, Marc C.","Grassi, Joseph G.","Craig, Christopher","Walser, Nancy","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.",6,9
"Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.","Fantini, Alfred B.","Craig, Christopher","Price, Alan C.",skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Price, Alan C.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Price, Alan C.","Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.","Price, Alan C.","Lummis, Ben","McGovern, Marc C.","Craig, Christopher",6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,6,9
"Lummis, Ben","Craig, Christopher","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.","Lummis, Ben",6,9
"Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Craig, Christopher","Grassi, Joseph G.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,6,9
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Craig, Christopher","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","McGovern, Marc C.","Grassi, Joseph G.","Walser, Nancy","Lummis, Ben","Price, Alan C.","Fantini, Alfred B.","Craig, Christopher",6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Lummis, Ben","Grassi, Joseph G.","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C.",6,9
"Craig, Christopher","Fantini, Alfred B.","McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.",6,9
"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",6,9
"Fantini, Alfred B.","McGovern, Marc C.","Craig, Christopher","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.",skipped,6,9
"Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Walser, Nancy","Craig, Christopher","Fantini, Alfred B.","Lummis, Ben",6,9
"Walser, Nancy","Fantini, Alfred B.","Craig, Christopher","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",skipped,6,9
"Walser, Nancy","Craig, Christopher","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Lummis, Ben",skipped,6,9
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Grassi, Joseph G.","Walser, Nancy","Harding, Richard, Jr.","Craig, Christopher",skipped,skipped,skipped,6,9
"McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.","Lummis, Ben","Craig, Christopher",skipped,skipped,6,9
"Craig, Christopher","McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped,6,9
"Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,6,9
"Craig, Christopher","Walser, Nancy","Price, Alan C.","Lummis, Ben","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",6,9
"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Craig, Christopher","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Price, Alan C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Grassi, Joseph G.","Price, Alan C.",skipped,skipped,skipped,6,9
"McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.","Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,skipped,6,9
"Price, Alan C.","McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.",skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Craig, Christopher",6,9
"McGovern, Marc C.","Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Grassi, Joseph G.","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Fantini, Alfred B.","Craig, Christopher","Lummis, Ben",6,9
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,6,9
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","Fantini, Alfred B.","Lummis, Ben","Grassi, Joseph G.","Walser, Nancy","Price, Alan C.","McGovern, Marc C.","Craig, Christopher",6,9
"Lummis, Ben","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Fantini, Alfred B.","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Walser, Nancy","Fantini, Alfred B.","Price, Alan C.","Craig, Christopher",skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Walser, Nancy","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.","Craig, Christopher","Fantini, Alfred B.",6,9
"McGovern, Marc C.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","Walser, Nancy","Price, Alan C.",skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Craig, Christopher","Lummis, Ben","McGovern, Marc C.",6,9
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Walser, Nancy","Grassi, Joseph G.","Craig, Christopher","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Lummis, Ben",6,9
"Fantini, Alfred B.","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Fantini, Alfred B.","Craig, Christopher","Harding, Richard, Jr.","Grassi, Joseph G.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.",6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,6,9
"McGovern, Marc C.","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","Walser, Nancy",skipped,skipped,skipped,6,9
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Grassi, Joseph G.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Craig, Christopher","Walser, Nancy","Grassi, Joseph G.","Price, Alan C.","Fantini, Alfred B.","Harding, Richard, Jr.",6,9
"Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy",6,9
"Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,6,9
"Craig, Christopher","Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Price, Alan C.",6,9
"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.","Craig, Christopher","Lummis, Ben","McGovern, Marc C.",6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Lummis, Ben","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Craig, Christopher","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Price, Alan C.","Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.","Lummis, Ben","Craig, Christopher","McGovern, Marc C.",6,9
"McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,6,9
"Price, Alan C.","Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher",6,9
"Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Lummis, Ben","Walser, Nancy","Grassi, Joseph G.",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Grassi, Joseph G.","Craig, Christopher","Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,6,9
"Walser, Nancy","Fantini, Alfred B.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,6,9
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,6,9
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Craig, Christopher","Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","Walser, Nancy","Craig, Christopher","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,6,9
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Price, Alan C.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","Craig, Christopher","Walser, Nancy",skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,6,9
"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.",skipped,6,9
"Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Craig, Christopher","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped,6,9
"McGovern, Marc C.","Craig, Christopher","Price, Alan C.","Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.","Lummis, Ben","Walser, Nancy",6,9
"Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Craig, Christopher","Price, Alan C.","Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy",6,9
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.","Craig, Christopher",skipped,skipped,skipped,6,9
"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
"Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,6,9
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,6,9
"Walser, Nancy","Craig, Christopher","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,6,9
"Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,6,9
